TeamId,TeamName,SubmissionDate,Score
7552522,Ozzy,"2022-05-19 22:51:54",0.38109
7890258,Roma-Upgini,"2022-06-07 08:32:06",0.39257
8821728,Kukazucker,"2022-06-26 19:09:25",0.39260
7906094,"Javier Reinoso Velasco","2022-06-20 17:52:40",0.39261
8633980,Samantha_mengjunyy,"2022-06-15 15:03:36",0.39261
8778741,"Jov Emmanuel R. Ermitaño","2022-06-29 09:30:05",0.39261
8787845,"Mohaiminul Islam","2022-06-18 16:10:56",0.39261
8632348,enmmmmy,"2022-06-19 11:42:25",0.39261
8794450,"Abdukhoshim Tojiboev","2022-06-20 11:12:48",0.39261
8645399,"何勁廷 HE,JIN-TING","2022-06-23 17:35:55",0.39263
8786652,wintereast,"2022-06-30 01:56:53",0.39264
8738962,"Gajendra Sahu","2022-06-07 23:03:14",0.39266
8751624,"Hester Xiang","2022-06-10 05:27:03",0.39266
8751871,Kagglekaggle2022,"2022-06-10 05:53:09",0.39266
8666029,joel0115,"2022-06-24 06:43:12",0.39266
8384993,"Alex Roubinchtein","2022-06-03 14:40:36",0.39333
8775152,ArtemChistyakov,"2022-06-21 11:20:52",0.39525
8646387,"Cro Dim","2022-06-14 08:37:52",0.39863
8781021,"Carlos Galindo","2022-06-16 20:51:32",0.40077
8631727,秦俊杰,"2022-06-18 14:41:04",0.40080
8641344,M.R.0024,"2022-06-11 06:52:54",0.40080
8768519,"Fabricio Trevisan","2022-06-14 22:35:08",0.40080
8823969,VuNguyen,"2022-06-29 09:29:08",0.40082
8670165,taotaoxie,"2022-06-10 03:15:41",0.40124
8655673,xx_peach,"2022-06-09 15:33:04",0.40124
8656144,xianyuyici,"2022-06-05 06:04:53",0.40135
8739237,Sanidhay,"2022-06-08 03:40:04",0.40242
7589979,"Henry Javier","2022-06-28 16:21:31",0.40287
8702507,StayAngry,"2022-05-31 05:13:38",0.40289
8696091,"Tejaswini Dhu","2022-06-01 14:43:52",0.40304
8740355,DinoKing,"2022-06-08 06:17:07",0.40304
8731926,eddielin0926,"2022-06-08 17:54:43",0.40304
8665049,安千定東,"2022-06-09 03:22:31",0.40304
8666516,"[Deleted] d1f856c4-42bb-43be-826c-694a0bb3998d","2022-05-30 06:07:42",0.40315
8687843,F74086268蔡宇喨,"2022-06-11 09:11:20",0.40339
8695405,"CHUN-HAN LI","2022-06-01 15:26:01",0.40356
8657285,"Jorge Luis Aguilar Perez","2022-05-21 05:47:28",0.40366
8509954,HampnieHambart,"2022-05-17 20:00:39",0.40366
8761366,"Anton Voskresenskii","2022-06-12 16:37:36",0.40405
8587923,ZZ,"2022-05-08 13:45:09",0.40414
8011145,maryber,"2022-06-03 11:17:35",0.40419
8536745,"Bao Ngo","2022-05-06 04:44:19",0.40419
8570075,"Kin Siang Chia","2022-06-03 10:45:17",0.40419
8661686,焉知乐z,"2022-05-23 12:34:23",0.40419
8743321,F74076213吳定洋,"2022-06-08 18:09:45",0.40419
8627348,"little songshu1221","2022-06-18 10:03:00",0.40419
8560973,"vishwesh shah","2022-05-01 23:18:14",0.40419
7540829,blue7red,"2022-05-08 09:16:22",0.40419
8621688,baimizhou,"2022-05-15 14:19:28",0.40419
